name,club,league,country,level,source_date
Dawid Kownacki,Hertha Berlin,2. Bundesliga,Niemcy,2,2025-11-09
Michał Karbownik,Hertha Berlin,2. Bundesliga,Niemcy,2,2025-11-09
Marcel Lotka,Fortuna Düsseldorf,2. Bundesliga,Niemcy,2,2025-11-09
Dariusz Stalmach,1. FC Magdeburg,2. Bundesliga,Niemcy,2,2025-11-09
Łukasz Poręba,SV Elversberg,2. Bundesliga,Niemcy,2,2025-11-09
Maik Nawrocki,Hannover 96,2. Bundesliga,Niemcy,2,2025-11-09
Eryk Grzywacz,1. FC Nürnberg,2. Bundesliga,Niemcy,2,2025-11-09
Jan Bednarek,FC Porto,Primeira Liga,Portugalia,1,2025-11-09
Jakub Kiwior,FC Porto,Primeira Liga,Portugalia,1,2025-11-09
Cezary Miszta,Rio Ave,Primeira Liga,Portugalia,1,2025-11-09
Sebastian Szymański,Fenerbahçe,Super Lig,Turcja,1,2025-11-09
Jakub Kałuziński,İstanbul Başakşehir,Super Lig,Turcja,1,2025-11-09
Kacper Kozłowski,Gaziantep FK,Super Lig,Turcja,1,2025-11-09
Karol Linetty,Kocaelispor,Super Lig,Turcja,1,2025-11-09
Mateusz Wieteska,Kocaelispor,Super Lig,Turcja,1,2025-11-09
Mateusz Łęgowski,Eyupspor,Super Lig,Turcja,1,2025-11-09
Mateusz Lis,Göztepe SK,Super Lig,Turcja,1,2025-11-09
Albert Posiadała,Samsunspor,Super Lig,Turcja,1,2025-11-09
Jakub Moder,Feyenoord,Eredivisie,Holandia,1,2025-11-09
Przemysław Tytoń,FC Twente,Eredivisie,Holandia,1,2025-11-09
Paweł Bochniewicz,SC Heerenveen,Eredivisie,Holandia,1,2025-11-09
Szymon Włodarczyk,Excelsior Rotterdam,Eredivisie,Holandia,1,2025-11-09
Filip Bednarek,Sparta Rotterdam,Eredivisie,Holandia,1,2025-11-09
Daniel Bielica,NAC Breda,Eredivisie,Holandia,1,2025-11-09
Jan Faberski,PEC Zwolle,Eredivisie,Holandia,1,2025-11-09
Oskar Zawada,FC Groningen,Eredivisie,Holandia,1,2025-11-09
Jakub Ojrzyński,Örebro SK,Superettan,Szwecja,2,2025-11-09
Michał Skóraś,KAA Gent,Pro League,Belgia,1,2025-11-09
Krzysztof Koton,FCV Dender,Pro League,Belgia,1,2025-11-09
Filip Szymczak,Royal Charleroi,Challenger Pro League,Belgia,2,2025-11-09
Łukasz Łakomy,OH Leuven,Challenger Pro League,Belgia,2,2025-11-09
Filip Rózga,SK Sturm Graz,Bundesliga,Austria,1,2025-11-09
Bartłomiej Drągowski,Panathinaikos,Super League,Grecja,1,2025-11-09
Karol Świderski,Panathinaikos,Super League,Grecja,1,2025-11-09
Tomasz Kędziora,PAOK,Super League,Grecja,1,2025-11-09
Sebastian Musiolik,AE Kifisia,Super League,Grecja,1,2025-11-09
Konrad Michalak,Panetolikos,Super League,Grecja,1,2025-11-09
Dominik Sarapata,FC Kopenhaga,Superligaen,Dania,1,2025-11-09
Maks Stryjek,Kilmarnock FC,Scottish Premiership,Szkocja,1,2025-11-09
Karol Niemczycki,FC Ashdod,Ligat ha'Al,Izrael,1,2025-11-09
Karol Borys,NK Maribor,Prva Liga,Słowenia,1,2025-11-09
Fabian Bzdyl,MŠK Žilina,Nike Liga,Słowacja,1,2025-11-09
Łukasz Wolsztyński,1. FC Tatran Prešov,Nike Liga,Słowacja,1,2025-11-09
Bartosz Szywała,Slavia Praga,Chance Liga,Czechy,1,2025-11-09
Eryk Łukaszka,FK Bodø/Glimt II,Eliteserien,Norwegia,1,2025-11-09
Tymoteusz Puchacz,Sabah Baku,Premjer Liqa,Azerbejdżan,1,2025-11-09
Mateusz Kochalski,Qarabağ FK,Premjer Liqa,Azerbejdżan,1,2025-11-09
Kacper Rosa,Kapaz PFC,Premjer Liqa,Azerbejdżan,1,2025-11-09
Marcin Bułka,Neom SC,Saudi Pro League,Arabia Saudyjska,1,2025-11-09
Bartosz Slisz,Atlanta United,MLS,USA,1,2025-11-09
Sebastian Kowalczyk,Houston Dynamo,MLS,USA,1,2025-11-09
Dominik Marczuk,Real Salt Lake,MLS,USA,1,2025-11-09
David Poreba,Chicago Fire,MLS,USA,1,2025-11-09
Daniel Baran,FC Dallas,MLS,USA,1,2025-11-09
Wiktor Bogacz,New York Red Bulls,MLS,USA,1,2025-11-09
Krzysztof Piątek,Al-Duhail SC,Qatar Stars League,Katar,1,2025-11-09
Patryk Klimala,FC Seoul,K League 1,Korea Południowa,1,2025-11-09
Miłosz Trojak,Ulsan HD,K League 1,Korea Południowa,1,2025-11-09
Mateusz Bogusz,Cruz Azul,Liga MX,Meksyk,1,2025-11-09
Jan Ziółkowski,AS Roma,Serie A,Włochy,1,2025-11-11
Piotr Parzyszek,KuPS,Veikkausliiga,Polska,1,2025-11-11
